Link,GName,Structure,Description
https://go.drugbank.com/drugs/DB11331,1-Palmitoyl-2-oleoyl-sn-glycero-3-(phospho-rac-(1-glycerol)),https://go.drugbank.com/structures/DB11331/image.svg,A synthetic lung surfactant used to treat infant respiratory distress syndrome.
https://go.drugbank.com/drugs/DB12537,"1,2-Benzodiazepine",https://go.drugbank.com/structures/DB12537/image.svg,"Benzodiazepine is under investigation for the prevention of Delirium and C.Surgical Procedure; Cardiac. Benzodiazepine has been investigated for the treatment of Obesity, Sleep Apnea, Obstructive, and Disorders of Gallbladder, Biliary..."
https://go.drugbank.com/drugs/DB14099,"1,2-Distearoyllecithin",https://go.drugbank.com/structures/DB14099/image.svg,Not Annotated
https://go.drugbank.com/drugs/DB14096,"1,2-icosapentoyl-sn-glycero-3-phosphoserine",https://go.drugbank.com/structures/DB14096/image.svg,Not Annotated
https://go.drugbank.com/drugs/DB11496,2-mercaptobenzothiazole,https://go.drugbank.com/structures/DB11496/image.svg,Not Annotated
https://go.drugbank.com/drugs/DB14201,"2,2'-Dibenzothiazyl disulfide",https://go.drugbank.com/structures/DB14201/image.svg,"2,2'-Dibenzothiazyl disulfide is approved for use within allergenic epicutaneous patch tests which are indicated for use as an aid in the diagnosis of allergic contact dermatitis (ACD) in persons 6..."
https://go.drugbank.com/drugs/DB14195,4-(Isopropylamino)diphenylamine,https://go.drugbank.com/structures/DB14195/image.svg,4-(Isopropylamino)diphenylamine is approved for use within allergenic epicutaneous patch tests which are indicated for use as an aid in the diagnosis of allergic contact dermatitis (ACD) in persons 6 years...
https://go.drugbank.com/drugs/DB01632,5-O-phosphono-alpha-D-ribofuranosyl diphosphate,https://go.drugbank.com/structures/DB01632/image.svg,"The key substance in the biosynthesis of histidine, tryptophan, and purine and pyrimidine nucleotides."
https://go.drugbank.com/drugs/DB01048,Abacavir,https://go.drugbank.com/structures/DB01048/image.svg,An antiviral nucleoside reverse transcriptase inhibitor used in combination with other antiretrovirals for the treatment of HIV.
https://go.drugbank.com/drugs/DB11932,Abametapir,https://go.drugbank.com/structures/DB11932/image.svg,A pediculicide metalloproteinase used topically in the treatment of head lice infection.
https://go.drugbank.com/drugs/DB00106,Abarelix,https://go.drugbank.com/structures/DB00106/image.svg,For palliative treatment of advanced prostate cancer.
https://go.drugbank.com/drugs/DB12001,Abemaciclib,https://go.drugbank.com/structures/DB12001/image.svg,A medication used to treat HR+ HER2- advanced or metastatic breast cancer.
https://go.drugbank.com/drugs/DB05812,Abiraterone,https://go.drugbank.com/structures/DB05812/image.svg,An antiandrogen used in the treatment of metastatic castration-resistant prostate cancer and metastatic high-risk castration-sensitive prostate cancer.
https://go.drugbank.com/drugs/DB14973,Abrocitinib,https://go.drugbank.com/structures/DB14973/image.svg,A kinase inhibitor used to treat moderate-to-severe atopic dermatitis in adults.
https://go.drugbank.com/drugs/DB11703,Acalabrutinib,https://go.drugbank.com/structures/DB11703/image.svg,"A Bruton tyrosine kinase inhibitor used to treat mantle cell lymphoma, chronic lymphocytic leukemia, and small lymphocytic lymphoma."
https://go.drugbank.com/drugs/DB00659,Acamprosate,https://go.drugbank.com/structures/DB00659/image.svg,A medication used to maintain alcohol abstinence in patients with alcohol dependence.
https://go.drugbank.com/drugs/DB00284,Acarbose,https://go.drugbank.com/structures/DB00284/image.svg,An alpha-glucosidase inhibitor used in adjunctly with diet and exercise for the management of glycemic control in patients with type 2 diabetes mellitus.
https://go.drugbank.com/drugs/DB01193,Acebutolol,https://go.drugbank.com/structures/DB01193/image.svg,A selective β1-receptor antagonist used for the management of hypertension and ventricular premature beats in adults.
https://go.drugbank.com/drugs/DB13262,Aceclidine,https://go.drugbank.com/structures/DB13262/image.svg,Aceclidine has been marketed in Europe but has not been used clinically in the United States. It is used in the treatment of open-angle glaucoma and is a parasympathomimetic agent.
https://go.drugbank.com/drugs/DB06736,Aceclofenac,https://go.drugbank.com/structures/DB06736/image.svg,"Aceclofenac is indicated for the relief of pain and inflammation in osteoarthritis, rheumatoid arthritis and ankylosing spondylitis."
